# Filename :          results/figures/PINN_Dynamics_MomentumUncertainty.txt
# Program version :   PINN_Matrix_Solver_v2.1_FixedPhase_Hermitian
# Start:              Wed Dec  3 23:27:08 2025
# (1) time	(2) expected momentum	(3) expected momentum - uncertainty	(4) expected momentum + uncertainty
# ================================================================================
0.0000000000	0.0000000000	-1.0921353692	1.0921353692
0.0334448161	-0.1214816390	-1.2162958006	0.9733325226
0.0668896321	-0.2446625097	-1.3469311437	0.8576061242
0.1003344482	-0.3709360733	-1.4838185555	0.7419464089
0.1337792642	-0.5011093119	-1.6254718363	0.6232532125
0.1672240803	-0.6351703031	-1.7694227521	0.4990821459
0.2006688963	-0.7721237434	-1.9126539215	0.3684064346
0.2341137124	-0.9099090800	-2.0521481067	0.2323299467
0.2675585284	-1.0454098055	-2.1855228117	0.0947032008
0.3010033445	-1.1745557079	-2.3116744939	-0.0374369220
0.3344481605	-1.2925129368	-2.4312384264	-0.1537874471
0.3678929766	-1.3939501373	-2.5465003287	-0.2413999459
0.4013377926	-1.4733631080	-2.6603491750	-0.2863770411
0.4347826087	-1.5254358542	-2.7742831637	-0.2765885447
0.4682274247	-1.5454128933	-2.8863837485	-0.2044420381
0.5016722408	-1.5294564243	-2.9905954575	-0.0683173910
0.5351170569	-1.4749626099	-3.0777415414	0.1278163217
0.5685618729	-1.3808136921	-3.1374527018	0.3758253176
0.6020066890	-1.2475468067	-3.1599786918	0.6648850783
0.6354515050	-1.0774258879	-3.1374352304	0.9825834547
0.6688963211	-0.8744095776	-3.0645182621	1.3156991069
0.7023411371	-0.6440151195	-2.9388491074	1.6508188685
0.7357859532	-0.3930853191	-2.7610757201	1.9749050819
0.7692307692	-0.1294723030	-2.5347972938	2.2758526877
0.8026755853	0.1383424689	-2.2663461475	2.5430310853
0.8361204013	0.4016680935	-1.9644496918	2.7677858787
0.8695652174	0.6520374180	-1.6397958412	2.9438706772
0.9030100334	0.8816260215	-1.3045294601	3.0677815030
0.9364548495	1.0836304489	-0.9717096554	3.1389705533
0.9698996656	1.2525819734	-0.6547524386	3.1599163854
1.0033444816	1.3845766026	-0.3668627009	3.1360159061
1.0367892977	1.4774078074	-0.1204137239	3.0752293387
1.0702341137	1.5305951187	0.0738393618	2.9873508755
1.1036789298	1.5453088537	0.2078757711	2.8827419363
1.1371237458	1.5241982833	0.2778917387	2.7705048279
1.1705685619	1.4711370521	0.2857084622	2.6565656420
1.2040133779	1.3909051461	0.2391024300	2.5427078622
1.2374581940	1.2888307990	0.1503107447	2.4273508533
1.2709030100	1.1704181388	0.0332388336	2.3075974439
1.3043478261	1.0409869503	-0.0992320714	2.1812059719
1.3377926421	0.9053496278	-0.2369024748	2.0476017305
1.3712374582	0.7675473133	-0.3728453039	1.9079399305
1.4046822742	0.6306625924	-0.5033096083	1.7646347931
1.4381270903	0.4967202860	-0.6272728367	1.6207134088
1.4715719064	0.3666812498	-0.7458206825	1.4791831820
1.5050167224	0.2405271579	-0.8614316628	1.3424859786
1.5384615385	0.1174275023	-0.9772145982	1.2120696028
1.5719063545	-0.0040260391	-1.0961644220	1.0881123438
1.6053511706	-0.1255376744	-1.2205292708	0.9694539219
1.6387959866	-0.2488013197	-1.3513833251	0.8537806857
1.6722408027	-0.3751952634	-1.4884592780	0.7380687512
1.7056856187	-0.5055027040	-1.6302328501	0.6192274421
1.7391304348	-0.6396812882	-1.7742099195	0.4948473432
1.7725752508	-0.7767011734	-1.9173637357	0.3639613889
1.8060200669	-0.9144660853	-2.0566876194	0.2277554488
1.8394648829	-1.0498257078	-2.1898315261	0.0901801105
1.8729096990	-1.1786809698	-2.3157441224	-0.0416178172
1.9063545151	-1.2961768592	-2.4351211928	-0.1572325256
1.9397993311	-1.3969708117	-2.5502913657	-0.2436502576
1.9732441472	-1.4755589524	-2.6641331300	-0.2869847747
2.0066889632	-1.5266379384	-2.7780598704	-0.2752160065
2.0401337793	-1.5454771869	-2.8900171408	-0.2009372330
2.0735785953	-1.5282750911	-2.9938213043	-0.0627288779
2.1070234114	-1.4724735271	-3.0802234017	0.1352763475
2.1404682274	-1.3770074835	-3.1388482903	0.3848333234
2.1739130435	-1.2424708426	-3.1599910352	0.6750493500
2.2073578595	-1.0711849079	-3.1358440673	0.9934742515
2.2408026756	-0.8671628208	-3.0611965512	1.3268709096
2.2742474916	-0.6359700833	-2.9337697909	1.6618296244
2.3076923077	-0.3844885008	-2.7543118047	1.9853348031
2.3411371237	-0.1205974846	-2.5265167598	2.2853217906
2.3745819398	0.1472076638	-2.2568025288	2.5512178565
2.4080267559	0.4102365215	-1.9539690547	2.7744420978
2.4414715719	0.6600367071	-1.6287610086	2.9488344228
2.4749163880	0.8888119245	-1.2933624586	3.0709863075
2.5083612040	1.0897984169	-0.9608533464	3.1404501802
2.5418060201	1.2575762288	-0.6446519058	3.1598043634
2.5752508361	1.3882961649	-0.3579459060	3.1345382359
2.6086956522	1.4798091324	-0.1130689118	3.0726871765
2.6421404682	1.5316912453	0.0792945560	2.9840879345
2.6755852843	1.5451651893	0.2112383812	2.8790919974
2.7090301003	1.5229253867	0.2791257646	2.7667250087
2.7424749164	1.4688809726	0.2849794233	2.6527825218
2.7759197324	1.3878360395	0.2367582153	2.5389138637
2.8093645485	1.2851306474	0.1468029303	2.4234583644
2.8428093645	1.1662684508	0.0290239859	2.3035129157
2.8762541806	1.0365573069	-0.1037664053	2.1768810191
2.9096989967	0.9007878612	-0.2414728387	2.0430485611
2.9431438127	0.7629719779	-0.3772779124	1.9032218681
2.9765886288	0.6261582111	-0.5075297364	1.7598461585
3.0100334448	0.4923356432	-0.6312863858	1.6159576722
3.0434782609	0.3624307761	-0.7496916807	1.4745532328
3.0769230769	0.2363952213	-0.8652574195	1.3380478621
3.1103678930	0.1133752050	-0.9811002499	1.2078506598
3.1438127090	-0.0080521431	-1.1001995663	1.0840952801
3.1772575251	-0.1295956676	-1.2247700290	0.9655786939
3.2107023411	-0.2529436299	-1.3558424887	0.8499552289
3.2441471572	-0.3794588359	-1.4931052732	0.7341876013
3.2775919732	-0.5099004443	-1.6349963448	0.6151954562
3.3110367893	-0.6441954912	-1.7789961793	0.4906051969
3.3444816054	-0.7812795074	-1.9220692688	0.3595102541
3.3779264214	-0.9190205102	-2.0612202000	0.2231791796
3.4113712375	-1.0542344918	-2.1941321053	0.0856631218
3.4448160535	-1.1827937352	-2.3198063885	-0.0457810819
3.4782608696	-1.2998223647	-2.4389992622	-0.1606454672
3.5117056856	-1.3999669679	-2.5540810738	-0.2458528620
3.5451505017	-1.4777243977	-2.6679175118	-0.2875312836
3.5785953177	-1.5278043761	-2.7818347967	-0.2737739556
3.6120401338	-1.5455016148	-2.8936418160	-0.1973614136
3.6454849498	-1.5270510501	-2.9970280385	-0.0570740618
3.6789297659	-1.4699405485	-3.0826745373	0.1427934404
3.7123745819	-1.3731580289	-3.1402023415	0.3938862837
3.7458193980	-1.2373541967	-3.1599531712	0.6852447778
3.7792642140	-1.0649076853	-3.1341969234	1.0043815528
3.8127090301	-0.8598859809	-3.0578163406	1.3380443788
3.8461538462	-0.6279025822	-2.9286328087	1.6728276442
3.8795986622	-0.3758779417	-2.7474943188	1.9957384354
3.9130434783	-0.1117183320	-2.5181897643	2.2947531002
3.9464882943	0.1560675700	-2.2472221925	2.5593573326
3.9799331104	0.4187903017	-1.9434635945	2.7810441979
4.0133779264	0.6680127164	-1.6177148377	2.9537402704
4.0468227425	0.8959670601	-1.2821985925	3.0741327127
4.0802675585	1.0959296193	-0.9500150203	3.1418742590
4.1137123746	1.2625294614	-0.6345839538	3.1596428765
4.1471571906	1.3919723310	-0.3490753640	3.1330200261
4.1806020067	1.4821665996	-0.1057822397	3.0701154389
4.2140468227	1.5327448768	0.0846827444	2.9808070092
4.2474916388	1.5449820229	0.2145298247	2.8754342211
4.2809364548	1.5216173263	0.2802908061	2.7629438464
4.3143812709	1.4665950582	0.2841903156	2.6489998008
4.3478260870	1.3847430194	0.2343678093	2.5351182295
4.3812709030	1.2814126830	0.1432645141	2.4195608519
4.4147157191	1.1621068319	0.0247928093	2.2994208545
4.4481605351	1.0321210391	-0.1083058896	2.1725479678
4.4816053512	0.8962239112	-0.2460408475	2.0384886700
4.5150501672	0.7583978305	-0.3817041794	1.8984998404
4.5484949833	0.6216572128	-0.5117425385	1.7550569641
4.5819397993	0.4879553990	-0.6352939326	1.6112047305
4.6153846154	0.3581846344	-0.7535595130	1.4699287819
4.6488294314	0.2322666563	-0.8690835124	1.3336168250
4.6822742475	0.1093246872	-0.9849895781	1.2036389526
4.7157190635	-0.0120783769	-1.1042408648	1.0800841110
4.7491638796	-0.1336556771	-1.2290180894	0.9617067353
4.7826086957	-0.2570894819	-1.3603085991	0.8461296354
4.8160535117	-0.3837268056	-1.4977564633	0.7303028521
4.8494983278	-0.5143025136	-1.6397622145	0.6111571873
4.8829431438	-0.6487128546	-1.7837814156	0.4863557065
4.9163879599	-0.7858586479	-1.9267704170	0.3550531211
4.9498327759	-0.9235722200	-2.0657457816	0.2186013416
4.9832775920	-1.0586359907	-2.1984245414	0.0811525599
5.0167224080	-1.1868938144	-2.3238613534	-0.0499262755
5.0501672241	-1.3034492514	-2.4428727454	-0.1640257574
5.0836120401	-1.4029384048	-2.5578695517	-0.2480072579
5.1170568562	-1.4798592575	-2.6717023208	-0.2880161942
5.1505016722	-1.5289350087	-2.7856077860	-0.2722622313
5.1839464883	-1.5454860587	-2.8972574727	-0.1937146447
5.2173913043	-1.5257842340	-3.0002152811	-0.0513531869
5.2508361204	-1.4673636653	-3.0850945670	0.1503672364
5.2842809365	-1.3692653829	-3.1415145275	0.4029837617
5.3177257525	-1.2321969869	-3.1598648588	0.6954708850
5.3511705686	-1.0585943981	-3.1324936617	1.0153048655
5.3846153846	-0.8525792891	-3.0543776042	1.3492190261
5.4180602007	-0.6198128905	-2.9234382454	1.6838124644
5.4515050167	-0.3672539457	-2.7406234516	2.0061155602
5.4849498328	-0.1028351641	-2.5098165908	2.3041462626
5.5183946488	0.1649218697	-2.2376055021	2.5674492415
5.5518394649	0.4273291332	-1.9329337366	2.7875920030
5.5852842809	0.6759651767	-1.6066577965	2.9585881499
5.6187290970	0.9030912037	-1.2710383522	3.0772207596
5.6521739130	1.1020238859	-0.9391951693	3.1432429410
5.6856187291	1.2674415615	-0.6245490557	3.1594321786
5.7190635452	1.3956050551	-0.3402515039	3.1314616141
5.7525083612	1.4844802257	-0.0985540590	3.0675145104
5.7859531773	1.5337560877	0.0900037030	2.9775084725
5.8193979933	1.5447594787	0.2177500649	2.8717688925
5.8528428094	1.5202742653	0.2813870547	2.7591614759
5.8862876254	1.4642794983	0.2833415357	2.6452174609
5.9197324415	1.3816262877	0.2319317211	2.5313208543
5.9531772575	1.2776771068	0.1396960047	2.4156582089
5.9866220736	1.1579334694	0.0205457306	2.2953212081
6.0200668896	1.0276783096	-0.1128502154	2.1682068346
6.0535117057	0.8916579080	-0.2506063145	2.0339221305
6.0869565217	0.7538249632	-0.3861240275	1.8937739539
6.1204013378	0.6171596501	-0.5159480257	1.7502673259
6.1538461538	0.4835795678	-0.6392955514	1.6064546870
6.1872909699	0.3539428061	-0.7574242897	1.4653099019
6.2207357860	0.2281414187	-0.8729100592	1.3291928966
6.2541806020	0.1052758890	-0.9888826822	1.1994344602
6.2876254181	-0.0161048054	-1.1082883786	1.0760787679
6.3210702341	-0.1377177611	-1.2332734644	0.9578379421
6.3545150502	-0.2612389162	-1.3647816192	0.8423037868
6.3879598662	-0.3879991861	-1.5024127695	0.7264143973
6.4214046823	-0.5187088915	-1.6445303524	0.6071125695
6.4548494983	-0.6532333193	-1.7885655125	0.4820988740
6.4882943144	-0.7904384965	-1.9314670774	0.3505900843
6.5217391304	-0.9281210787	-2.0702642988	0.2140221414
6.5551839465	-1.0630300373	-2.2027088287	0.0766487542
6.5886287625	-1.1909810172	-2.3279090805	-0.0540529538
6.6220735786	-1.3070573174	-2.4467417542	-0.1673728806
6.6555183946	-1.4058849217	-2.5616568966	-0.2501129468
6.6889632107	-1.4819633457	-2.6754875525	-0.2884391388
6.7224080268	-1.5300296785	-2.7893786762	-0.2706806808
6.7558528428	-1.5454304020	-2.9008638061	-0.1899969980
6.7892976589	-1.5244745774	-3.0033826522	-0.0455665026
6.8227424749	-1.4647428711	-3.0874831107	0.1579973684
6.8561872910	-1.3653296017	-3.1427845228	0.4121253194
6.8896321070	-1.2269993333	-3.1597258603	0.7057271937
6.9230769231	-1.0522452264	-3.1307341488	1.0262436961
6.9565217391	-0.8452429782	-3.0508803197	1.3603943632
6.9899665552	-0.6117012834	-2.9181861891	1.6947836223
7.0234113712	-0.3586168175	-2.7336993961	2.0164657612
7.0568561873	-0.0939482997	-2.5013975260	2.3135009267
7.0903010033	0.1737702456	-2.2279528231	2.5754933144
7.1237458194	0.4358527161	-1.9223799083	2.7940853404
7.1571906355	0.6838938202	-1.5955903543	2.9633779948
7.1906354515	0.9101841321	-1.2598822286	3.0802504928
7.2240802676	1.1080810480	-0.9283942853	3.1445563813
7.2575250836	1.2723124217	-0.6145476832	3.1591725267
7.2909698997	1.3991942933	-0.3314747527	3.1298633394
7.3244147157	1.4867500294	-0.0913847175	3.0648847764
7.3578595318	1.5347249545	0.0952572131	2.9741926959
7.3913043478	1.5444976824	0.2208990724	2.8680962925
7.4247491639	1.5188963679	0.2824147093	2.7553780266
7.4581939799	1.4619344829	0.2824334859	2.6414354800
7.4916387960	1.3784860466	0.2294504618	2.5275216313
7.5250836120	1.2739241195	0.1360979092	2.4117503297
7.5585284281	1.1537485497	0.0162831732	2.2912139263
7.5919732441	1.0232292802	-0.1173990780	2.1638576383
7.6254180602	0.8870899802	-0.2551690570	2.0293490174
7.6588628763	0.7492534668	-0.3905373825	1.8890443161
7.6923076923	0.6126655740	-0.5201462115	1.7454773594
7.7257525084	0.4792081628	-0.6432913184	1.6017076440
7.7591973244	0.3497052713	-0.7612861218	1.4606966645
