# Filename :          results/figures/PINN_Dynamics_PositionUncertainty.txt
# Program version :   PINN_Matrix_Solver_v2.1_FixedPhase_Hermitian
# Start:              Wed Dec  3 23:27:08 2025
# (1) time	(2) expected position	(3) expected position - uncertainty	(4) expected position + uncertainty
# ================================================================================
0.0000000000	2.3045155571	1.5999263246	3.0091047895
0.0334448161	2.3004574407	1.5972376830	3.0036771983
0.0668896321	2.2882254006	1.5888192512	2.9876315501
0.1003344482	2.2676566615	1.5736568111	2.9616565118
0.1337792642	2.2385134103	1.5502084944	2.9268183261
0.1672240803	2.2005301264	1.5166373209	2.8844229319
0.2006688963	2.1534742822	1.4711392148	2.8358093495
0.2341137124	2.0972153470	1.4123326245	2.7820980695
0.2675585284	2.0317962492	1.3396335105	2.7239589878
0.3010033445	1.9575010963	1.2535152219	2.6614869706
0.3344481605	1.8749130726	1.1555777922	2.5942483531
0.3678929766	1.7849569965	1.0484202447	2.5214937483
0.4013377926	1.6889220068	0.9353758967	2.4424681169
0.4347826087	1.5884611837	0.8201927167	2.3567296507
0.4682274247	1.4855664968	0.7067201252	2.2644128684
0.5016722408	1.3825192102	0.5986300714	2.1664083490
0.5351170569	1.2818176258	0.4991773507	2.0644579008
0.5685618729	1.1860856975	0.4109974398	1.9611739552
0.6020066890	1.0979674755	0.3359453470	1.8599896040
0.6354515050	1.0200134417	0.2749912947	1.7650355887
0.6688963211	0.9545654929	0.2282050924	1.6809258934
0.7023411371	0.9036475701	0.1948744659	1.6124206743
0.7357859532	0.8688686918	0.1737967143	1.5639406692
0.7692307692	0.8513444507	0.1637315424	1.5389573589
0.8026755853	0.8516419185	0.1638989629	1.5393848741
0.8361204013	0.8697514432	0.1743131853	1.5651897011
0.8695652174	0.9050871305	0.1957763876	1.6143978733
0.9030100334	0.9565159770	0.2295358837	1.6834960703
0.9364548495	1.0224138088	0.2767846537	1.7680429638
0.9698996656	1.1007444833	0.3382126665	1.8632763001
1.0033444816	1.1891573706	0.4137212341	1.9645935072
1.0367892977	1.2850970228	0.5023098923	2.0678841532
1.0702341137	1.3859182578	0.6020956530	2.1697408626
1.1036789298	1.4889996611	0.7104196286	2.2675796936
1.1371237458	1.5918487627	0.8240097156	2.3596878098
1.1705685619	1.6921928607	0.9391840090	2.4452017125
1.2040133779	1.7880505735	1.0520917576	2.5240093894
1.2374581940	1.8777806405	1.1589935848	2.5965676962
1.2709030100	1.9601061470	1.2565755193	2.6636367747
1.3043478261	2.0341141027	1.3422679834	2.7259602221
1.3377926421	2.0992320360	1.4145072770	2.7839567949
1.3712374582	2.1551848476	1.4728574245	2.8375122706
1.4046822742	2.2019364949	1.5179340107	2.8859389791
1.4381270903	2.2396220469	1.5511389802	2.9281051136
1.4715719064	2.2684762061	1.5742835755	2.9626688368
1.5050167224	2.2887644887	1.5891997650	2.9883292125
1.5384615385	2.3007228921	1.5974150770	3.0040307073
1.5719063545	2.3045110837	1.5999233933	3.0090987741
1.6053511706	2.3001829780	1.5970540340	3.0033119219
1.6387959866	2.2876771194	1.5884313529	2.9869228858
1.6722408027	2.2668276575	1.5730209424	2.9606343726
1.7056856187	2.2373950167	1.5492668501	2.9255231832
1.7391304348	2.1991137391	1.5153274487	2.8829000296
1.7725752508	2.1517535483	1.4694062652	2.8341008314
1.8060200669	2.0951885317	1.4101425645	2.7802344990
1.8394648829	2.0294685782	1.3369841463	2.7219530101
1.8729096990	1.9548868684	1.2504418098	2.6593319269
1.9063545151	1.8720373463	1.1521517753	2.5919229173
1.9397993311	1.7818566835	1.0447422120	2.5189711550
1.9732441472	1.6856462430	0.9315654250	2.4397270610
2.0066889632	1.5850708966	0.8163776268	2.3537641665
2.0401337793	1.4821331473	0.7030265997	2.2612396948
2.0735785953	1.3791227411	0.5951740730	2.1630714093
2.1070234114	1.2785437109	0.4960573108	2.0610301110
2.1404682274	1.1830224328	0.4082881996	1.9577566660
2.1739130435	1.0952016994	0.3336936500	1.8567097488
2.2073578595	1.0176268989	0.2732136209	1.7620401769
2.2408026756	0.9526310739	0.2268891700	1.6783729778
2.2742474916	0.9022258565	0.1939860399	1.6104656730
2.3076923077	0.8680050222	0.1732923193	1.5627177251
2.3411371237	0.8510666927	0.1635753029	1.5385580824
2.3745819398	0.8519590854	0.1640775806	1.5398405903
2.4080267559	0.8706532451	0.1748417742	1.5664647160
2.4414715719	0.9065444867	0.1966918545	1.6163971188
2.4749163880	0.9584824586	0.2308815823	1.6860833349
2.5083612040	1.0248279191	0.2785937113	1.7710621269
2.5418060201	1.1035326321	0.3404955894	1.8665696748
2.5752508361	1.1922373560	0.4164595297	1.9680151823
2.6086956522	1.2883818044	0.5054548517	2.0713087571
2.6421404682	1.3893197894	0.6055707080	2.1730688707
2.6755852843	1.4924325520	0.7141249809	2.2707401231
2.7090301003	1.5952335550	0.8278284834	2.3626386265
2.7424749164	1.6954587378	0.9429896201	2.4479278556
2.7759197324	1.7911373608	1.0557566184	2.5265181032
2.8093645485	1.8806400097	1.1623990423	2.5988809771
2.8428093645	1.9627019934	1.2596226238	2.6657813630
2.8762541806	2.0364221237	1.3448875272	2.7279567202
2.9096989967	2.1012385933	1.4166665264	2.7858106602
2.9431438127	2.1568852469	1.4745609339	2.8392095598
2.9765886288	2.2033328517	1.5192175801	2.8874481234
3.0100334448	2.2407209363	1.5520583774	2.9293834952
3.0434782609	2.2692863013	1.5749012996	2.9636713030
3.0769230769	2.2892943913	1.5895729425	2.9890158402
3.1103678930	2.3009793366	1.5975862414	3.0043724317
3.1438127090	2.3044976635	1.5999145988	3.0090807282
3.1772575251	2.2998994998	1.5968641039	3.0029348956
3.2107023411	2.2871196372	1.5880360214	2.9862032530
3.2441471572	2.2659891846	1.5723759047	2.9596024646
3.2775919732	2.2362668565	1.5483139774	2.9242197356
3.3110367893	2.1976873258	1.5140043323	2.8813703192
3.3444816054	2.1500226438	1.4676585372	2.8323867505
3.3779264214	2.0931515957	1.4079370940	2.7783660973
3.4113712375	2.0271311056	1.3343199297	2.7199422815
3.4448160535	1.9522634909	1.2473553625	2.6571716193
3.4782608696	1.8691535022	1.1487156461	2.5895913583
