# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.3_Final
# Start    : Sat Dec  6 00:33:51 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
0.0000000000	2.3045207905	1.5999321524	3.0091094286
0.0334448161	2.3004624683	1.5972432912	3.0036816453
0.0668896321	2.2882298243	1.5888242235	2.9876354252
0.1003344482	2.2676601227	1.5736607981	2.9616594473
0.1337792642	2.2385156136	1.5502112523	2.9268199748
0.1672240803	2.2005308586	1.5166387391	2.8844229781
0.2006688963	2.1534734259	1.4711393270	2.8358075249
0.2341137124	2.0972128885	1.4123315974	2.7820941797
0.2675585284	2.0317922783	1.3396316112	2.7239529454
0.3010033445	1.9574958001	1.2535127696	2.6614788306
0.3344481605	1.8749067229	1.1555751074	2.5942383384
0.3678929766	1.7849499308	1.0484176042	2.5214822573
0.4013377926	1.6889146061	0.9353735005	2.4424557117
0.4347826087	1.5884538470	0.8201906663	2.3567170277
0.4682274247	1.4855596147	0.7067184123	2.2644008171
0.5016722408	1.3825131395	0.5986285772	2.1663977018
0.5351170569	1.2818126661	0.4991758558	2.0644494764
0.5685618729	1.1860820728	0.4109956501	1.9611684954
0.6020066890	1.0979653202	0.3359429368	1.8599877036
0.6354515050	1.0200127933	0.2749879705	1.7650376162
0.6688963211	0.9545662918	0.2282006757	1.6809319079
0.7023411371	0.9036496652	0.1948689809	1.6124303495
0.7357859532	0.8688718528	0.1737904522	1.5639532535
0.7692307692	0.8513483862	0.1637250609	1.5389717114
0.8026755853	0.8516462971	0.1638929915	1.5393996027
0.8361204013	0.8697559182	0.1743084567	1.5652033797
0.8695652174	0.9050913645	0.1957734641	1.6144092649
0.9030100334	0.9565196665	0.2295350521	1.6835042809
0.9364548495	1.0224167052	0.2767859117	1.7680474987
0.9698996656	1.1007464106	0.3382157769	1.8632770442
1.0033444816	1.1891582369	0.4137258065	1.9645906672
1.0367892977	1.2850968262	0.5023154645	2.0678781878
1.0702341137	1.3859170856	0.6021017574	2.1697324139
1.1036789298	1.4889976822	0.7104258415	2.2675695229
1.1371237458	1.5918462142	0.8240156908	2.3596767377
1.1705685619	1.6921900292	0.9391894989	2.4451905595
1.2040133779	1.7880477726	1.0520966261	2.5239989190
1.2374581940	1.8777781864	1.1589978130	2.5965585598
1.2709030100	1.9601043335	1.2565792033	2.6636294637
1.3043478261	2.0341131775	1.3422713201	2.7259550348
1.3377926421	2.0992321795	1.4145105332	2.7839538259
1.3712374582	2.1551861575	1.4728608874	2.8375114276
1.4046822742	2.2019389752	1.5179379292	2.8859400211
1.4381270903	2.2396256041	1.5511435097	2.9281076985
1.4715719064	2.2684806524	1.5742887396	2.9626725651
1.5050167224	2.2887695513	1.5892054422	2.9883336604
1.5384615385	2.3007282296	1.5974210086	3.0040354505
1.5719063545	2.3045163068	1.5999292105	3.0091034030
1.6053511706	2.3001876748	1.5970592961	3.0033160535
1.6387959866	2.2876808823	1.5884355927	2.9869261718
1.6722408027	2.2668301104	1.5730237171	2.9606365037
1.7056856187	2.2373958409	1.5492677923	2.9255238896
1.7391304348	2.1991126962	1.5153263135	2.8828990790
1.7725752508	2.1517504975	1.4694029665	2.8340980284
1.8060200669	2.0951834418	1.4101371905	2.7802296930
1.8394648829	2.0294615321	1.3369769483	2.7219461160
1.8729096990	1.9548780609	1.2504331647	2.6593229571
1.9063545151	1.8720270744	1.1521421315	2.5919120173
1.9397993311	1.7818453301	1.0447320302	2.5189586300
1.9732441472	1.6856342552	0.9315551258	2.4397133847
2.0066889632	1.5850587602	0.8163675501	2.3537499704
2.0401337793	1.4821213580	0.7030169761	2.2612257400
2.0735785953	1.3791117764	0.5951650096	2.1630585431
2.1070234114	1.2785340017	0.4960487910	2.0610192125
2.1404682274	1.1830143399	0.4082801002	1.9577485796
2.1739130435	1.0951954932	0.3336857792	1.8567052072
2.2073578595	1.0176227459	0.2732057796	1.7620397121
2.2408026756	0.9526290295	0.2268812357	1.6783768234
2.2742474916	0.9022258656	0.1939780614	1.6104736699
2.3076923077	0.8680069264	0.1732845913	1.5627292616
2.3411371237	0.8510702441	0.1635683783	1.5385721100
2.3745819398	0.8519639662	0.1640721865	1.5398557459
2.4080267559	0.8706590908	0.1748386467	1.5664795349
