# Filename : results\simulations\PINN_Dynamics_MomentumUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.3_Final
# Start    : Sun Dec  7 14:46:24 2025
# (1) time	(2) <p>	(3) <p>-dp	(4) <p>+dp
# ================================================================================
0.0000000000	0.0000000000	-1.0921329091	1.0921329091
0.0334448161	0.1214806271	-0.9733314153	1.2162926694
0.0668896321	0.2446605724	-0.8576069221	1.3469280669
0.1003344482	0.3709333762	-0.7419494666	1.4838162191
0.1337792642	0.5011060855	-0.6232586482	1.6254708193
0.1672240803	0.6351668224	-0.4990898349	1.7694234798
0.2006688963	0.7721203040	-0.3684160274	1.9126566355
0.2341137124	0.9099059719	-0.2323409018	2.0521528455
0.2675585284	1.0454072868	-0.0947148254	2.1855293991
0.3010033445	1.1745539817	0.0374254247	2.3116825387
0.3344481605	1.2925121307	0.1537769128	2.4312473486
0.3678929766	1.3939502908	0.2413911480	2.5465094336
0.4013377926	1.4733641657	0.2863705459	2.6603577854
0.4347826087	1.5254376673	0.2765845623	2.7742907723
0.4682274247	1.5454152292	0.2044403574	2.8863901010
0.5016722408	1.5294589830	0.0683174543	2.9906005116
0.5351170569	1.4749650467	-0.1278152499	3.0777453433
0.5685618729	1.3808156447	-0.3758239788	3.1374552682
0.6020066890	1.2475479244	-0.6648841010	3.1599799499
0.6354515050	1.0774258607	-0.9825832922	3.1374350136
0.6688963211	0.8744081637	-1.3157000152	3.0645163426
0.7023411371	0.6440121673	-1.6508209101	2.9388452447
0.7357859532	0.3930807837	-1.9749081476	2.7610697150
0.7692307692	0.1294662546	-2.2758565301	2.5347890393
0.8026755853	-0.1383498449	-2.5430353632	2.2663356733
0.8361204013	-0.4016765054	-2.7677902090	1.9644371982
0.8695652174	-0.6520464842	-2.9438746922	1.6397817239
0.9030100334	-0.8816352945	-3.0677849102	1.3045143213
0.9364548495	-1.0836394444	-3.1389731926	0.9716943039
0.9698996656	-1.2525902023	-3.1599182788	0.6547378742
1.0033444816	-1.3845836045	-3.1360172872	0.3668500783
1.0367892977	-1.4774131814	-3.0752306450	0.1204042822
1.0702341137	-1.5305985512	-2.9873526749	-0.0738444276
1.1036789298	-1.5453101393	-2.8827447641	-0.2078755146
1.1371237458	-1.5241973385	-2.7705089556	-0.2778857215
1.1705685619	-1.4711339197	-2.6565708825	-0.2856969569
1.2040133779	-1.3908999910	-2.5427135626	-0.2390864194
1.2374581940	-1.2888238949	-2.4273561041	-0.1502916856
1.2709030100	-1.1704098469	-2.3076013644	-0.0332183295
1.3043478261	-1.0409776925	-2.1812079140	0.0992525289
1.3377926421	-0.9053398550	-2.0476013577	0.2369216476
1.3712374582	-0.7675374724	-1.9079372094	0.3728622645
1.4046822742	-0.6306530943	-1.7646299482	0.5033237596
1.4381270903	-0.4967114770	-1.6207068678	0.6272839137
1.4715719064	-0.3666733883	-1.4791755211	0.7458287444
1.5050167224	-0.2405203993	-1.3424778658	0.8614370672
1.5384615385	-0.1174218918	-1.2120617330	0.9772179493
1.5719063545	0.0040305637	-1.0881053638	1.0961664913
1.6053511706	0.1255412713	-0.9694483528	1.2205308955
1.6387959866	0.2488042230	-0.8537768579	1.3513853038
1.6722408027	0.3751977566	-0.7380667689	1.4884622822
1.7056856187	0.5055050891	-0.6192271869	1.6302373650
1.7391304348	0.6396838525	-0.4948485113	1.7742162163
1.7725752508	0.7767041573	-0.3639635541	1.9173718688
1.8060200669	0.9144696532	-0.2277581365	2.0566974428
1.8394648829	1.0498299250	-0.0901828751	2.1898427251
1.8729096990	1.1786857875	0.0416153166	2.3157562585
1.9063545151	1.2961821089	0.1572304555	2.4351337623
1.9397993311	1.3969762097	0.2436485531	2.5503038664
1.9732441472	1.4755641145	0.2869831134	2.6641451156
2.0066889632	1.5266424043	0.2752138406	2.7780709679
2.0401337793	1.5454804515	0.2009338909	2.8900270121
2.0735785953	1.5282766427	0.0627237062	2.9938295792
2.1070234114	1.4724728873	-0.1352838545	3.0802296291
2.1404682274	1.3770042476	-0.3848434408	3.1388519361
2.1739130435	1.2424647166	-0.6750620882	3.1599915215
2.2073578595	1.0711757392	-0.9934893580	3.1358408365
2.2408026756	0.8671506206	-1.3268878952	3.0611891363
2.2742474916	0.6359550379	-1.6618478068	2.9337578826
2.3076923077	0.3844709719	-1.9853533648	2.7542953085
2.3411371237	0.1205779965	-2.2853398470	2.5264958401
2.3745819398	-0.1472284477	-2.5512345324	2.2567776370
2.4080267559	-0.4102578331	-2.7744566069	1.9539409408
2.4414715719	-0.6600577155	-2.9488461474	1.6287307164
2.4749163880	-0.8888317838	-3.0709948730	1.2933313055
2.5083612040	-1.0898163151	-3.1404555185	0.9608228883
2.5418060201	-1.2575914361	-3.1598067570	0.6446238848
2.5752508361	-1.3883080766	-3.1345383274	0.3579221742
2.6086956522	-1.4798173044	-3.0726859192	0.1130513105
2.6421404682	-1.5316954189	-2.9840864467	-0.0793043910
2.6755852843	-1.5451653040	-2.8790912961	-0.2112393120
2.7090301003	-1.5229215798	-2.7667256637	-0.2791174960
2.7424749164	-1.4688735658	-2.6527843970	-0.2849627345
2.7759197324	-1.3878255130	-2.5389161504	-0.2367348756
2.8093645485	-1.2851176041	-2.4234599195	-0.1467752887
2.8428093645	-1.1662535728	-2.3035126785	-0.0289944672
2.8762541806	-1.0365413075	-2.1768782823	0.1037956673
2.9096989967	-0.9007714357	-2.0430430498	0.2415001784
2.9431438127	-0.7629557577	-1.9032136965	0.3773021812
2.9765886288	-0.6261427234	-1.7598357382	0.5075502913
3.0100334448	-0.4923212804	-1.6159456157	0.6313030549
3.0434782609	-0.3624177759	-1.4745402639	0.7497047121
3.0769230769	-0.2363836604	-1.3380347330	0.8652674122
3.1103678930	-0.1133650058	-1.2078380685	0.9811080570
3.1438127090	0.0080611929	-1.0840837892	1.1002061750
3.1772575251	0.1296038841	-0.9655686591	1.2247764274
3.2107023411	0.2529513935	-0.8499467555	1.3558495425
3.2441471572	0.3794665454	-0.7341805428	1.4931136337
3.2775919732	0.5099084697	-0.6151894597	1.6350063992
3.3110367893	0.6442041280	-0.4905997852	1.7790080412
3.3444816054	0.7812889360	-0.3595049324	1.9220828043
3.3779264214	0.9190307648	-0.2231735509	2.0612350805
3.4113712375	1.0542454405	-0.0856570009	2.1941478820
3.4448160535	1.1828050744	0.0457875658	2.3198225830
3.4782608696	1.2998336270	0.1606517980	2.4390154560
3.5117056856	1.3999775454	0.2458581285	2.5540969624
3.5451505017	1.4777335780	0.2875342776	2.6679328784
3.5785953177	1.5278113887	0.2737733865	2.7818493909
3.6120401338	1.5455056860	0.1973561726	2.8936551993
3.6454849498	1.5270514609	0.0570634234	2.9970394984
3.6789297659	1.4699366926	-0.1428097334	3.0826831185
3.7123745819	1.3731494656	-0.3939080277	3.1402069589
3.7458193980	1.2373406952	-0.6852713575	3.1599527480
3.7792642140	1.0648892570	-1.0044120059	3.1341905199
3.8127090301	0.8598628959	-1.3380774696	3.0578032615
3.8461538462	0.6278753702	-1.6728619468	2.9286126872
