# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.2_DataFixed
# Start    : Fri Dec  5 13:45:44 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
0.0000000000	0.8492499478	0.1625543417	1.5359455539
0.0334448161	0.8581948001	0.1676201752	1.5487694249
0.0668896321	0.8847392999	0.1832369854	1.5862416145
0.1003344482	0.9280277261	0.2104799846	1.6455754675
0.1337792642	0.9866811230	0.2506335063	1.7227287398
0.1672240803	1.0588650236	0.3046945572	1.8130354900
0.2006688963	1.1423781865	0.3729962489	1.9117601242
0.2341137124	1.2347567827	0.4550087867	2.0145047787
0.2675585284	1.3333875527	0.5492963718	2.1174787336
0.3010033445	1.4356229946	0.6535836406	2.2176623487
0.3344481605	1.5388916498	0.7648922624	2.3128910372
0.3678929766	1.6407970340	0.8797243497	2.4018697183
0.4013377926	1.7391996770	0.9942838991	2.4841154549
0.4347826087	1.8322780127	1.1047366049	2.5598194205
0.4682274247	1.9185654209	1.2075081611	2.6296226807
0.5016722408	1.9969624371	1.2996063171	2.6943185572
0.5351170569	2.0667249111	1.3789217999	2.7545280223
0.5685618729	2.1274305642	1.4444323360	2.8104287925
0.6020066890	2.1789278704	1.4962325968	2.8616231440
0.6354515050	2.2212723492	1.5353606754	2.9071840230
0.6688963211	2.2546561349	1.5634663935	2.9458458764
0.7023411371	2.2793370224	1.5824168673	2.9762571776
0.7357859532	2.2955730615	1.5939318833	2.9972142398
0.7692307692	2.3035681966	1.5993033991	3.0078329942
0.8026755853	2.3034334621	1.5992146209	3.0076523033
0.8361204013	2.2951669296	1.5936537894	2.9966800697
0.8695652174	2.2786540508	1.5819156105	2.9753924911
0.9030100334	2.2536883688	1.5626904761	2.9446862614
0.9364548495	2.2200108975	1.5342486685	2.9057731265
0.9698996656	2.1773649285	1.4947240729	2.8600057840
1.0033444816	2.1255617126	1.4424809101	2.8086425151
1.0367892977	2.0645514967	1.3765077249	2.7525952685
1.0702341137	1.9944938296	1.2967452225	2.6922424367
1.1036789298	1.9158209427	1.2042533629	2.6273885225
1.1371237458	1.8292883579	1.1011747752	2.5574019406
1.1705685619	1.7360076683	0.9905261584	2.4814891783
1.2040133779	1.6374576126	0.8758955684	2.3990196568
1.2374581940	1.5354710426	0.7611206251	2.3098214601
1.2709030100	1.4321970648	0.6499913802	2.2144027493
1.3043478261	1.3300393952	0.5459918143	2.1140869761
1.3377926421	1.2315736830	0.4520796329	2.0110677332
1.3712374582	1.1394481073	0.3705042012	1.9083920133
1.4046822742	1.0562728207	0.3026718104	1.8098738310
1.4381270903	0.9845047171	0.2490821634	1.7199272707
1.4715719064	0.9263344613	0.2093759276	1.6432929951
1.5050167224	0.8835827164	0.1825395720	1.5846258607
1.5384615385	0.8576120196	0.1672874458	1.5479365935
1.5719063545	0.8492598404	0.1625598742	1.5359598065
1.6053511706	0.8587970444	0.1679644511	1.5496296377
1.6387959866	0.8859143999	0.1839471777	1.5878816221
1.6722408027	0.9297379803	0.2115982884	1.6478776723
1.7056856187	0.9888724875	0.2522002346	1.7255447404
1.7391304348	1.0614697480	0.3067330788	1.8162064171
1.7725752508	1.1453180598	0.3755034940	1.9151326255
1.8060200669	1.2379467838	0.4579515513	2.0179420163
1.8394648829	1.3367396818	0.5526120212	2.1208673423
1.8729096990	1.4390500510	0.6571836943	2.2209164077
1.9063545151	1.5423107328	0.7686678179	2.3159536476
1.9397993311	1.6441325657	0.8835528415	2.4047122899
1.9732441472	1.7423857831	0.9980370963	2.4867344698
2.0066889632	1.8352601458	1.1082899213	2.5622303702
2.0401337793	1.9213011650	1.2107511189	2.6318512110
2.0735785953	1.9994214920	1.3024532261	2.6963897580
2.1070234114	2.0688883110	1.3813205588	2.7564560632
2.1404682274	2.1292892390	1.4463685656	2.8122099124
2.1739130435	2.1804807022	1.4977270993	2.8632343051
2.2073578595	2.2225239082	1.5364605155	2.9085873010
2.2408026756	2.2556142980	1.5642322351	2.9469963610
2.2742474916	2.2800106799	1.5829099687	2.9771113911
2.3076923077	2.2959701075	1.5942032617	2.9977369532
2.3411371237	2.3036939692	1.5993862222	3.0080017161
2.3745819398	2.3032897634	1.5991198746	3.0074596523
2.4080267559	2.2947517054	1.5933689422	2.9961344687
2.4414715719	2.2779617562	1.5814061410	2.9745173715
2.4749163880	2.2527109896	1.5619044143	2.9435175649
2.5083612040	2.2187395444	1.5331244271	2.9043546616
2.5418060201	2.1757918713	1.4932014754	2.8583822673
2.5752508361	2.1236826854	1.4405142656	2.8068511053
2.6086956522	2.0623680778	1.3740783507	2.7506578049
2.6421404682	1.9920156907	1.2938700016	2.6901613797
2.6755852843	1.9130677642	1.2009868206	2.6251487079
2.7090301003	1.8262912284	1.0976045556	2.5549779013
2.7424749164	1.7328098178	0.9867640129	2.4788556226
2.7759197324	1.6341143747	0.8720666396	2.3961621098
2.8093645485	1.5320489951	0.7573530413	2.3067449488
2.8428093645	1.4287723533	0.6464070331	2.2111376736
2.8762541806	1.3266953059	0.5426984458	2.1106921660
2.9096989967	1.2283975823	0.4491641584	2.0076310061
2.9431438127	1.1365279160	0.3680273866	1.9050284453
2.9765886288	1.0536932255	0.3006648401	1.8067216109
3.0100334448	0.9823433442	0.2475461784	1.7171405099
3.0434782609	0.9246582455	0.2082860709	1.6410304201
3.0769230769	0.8824446903	0.1818548896	1.5830344911
3.1103678930	0.8570487240	0.1669662327	1.5471312154
3.1438127090	0.8492895177	0.1625764722	1.5360025631
3.1772575251	0.8594187312	0.1683203049	1.5505171574
3.2107023411	0.8871079746	0.1846701973	1.5895457519
3.2441471572	0.9314651643	0.2127308849	1.6501994438
3.2775919732	0.9910787354	0.2537823751	1.7283750956
3.3110367893	1.0640869072	0.3087873722	1.8193864422
3.3444816054	1.1482676329	0.3780259002	1.9185093656
3.3779264214	1.2411435891	0.4609078577	2.0213793204
3.4113712375	1.3400956860	0.5559386647	2.1242527073
3.4448160535	1.4424781421	0.6607914207	2.2241648636
3.4782608696	1.5457282079	0.7724471557	2.3190092602
3.5117056856	1.6474641348	0.8873809015	2.4075473681
3.5451505017	1.7455659263	1.0017856119	2.4893462407
3.5785953177	1.8382347101	1.1118346015	2.5646348188
3.6120401338	1.9240281415	1.2139821409	2.6340741422
3.6454849498	2.0018709735	1.3052858916	2.6984560553
3.6789297659	2.0710416864	1.3837039859	2.7583793869
3.7123745819	2.1311377358	1.4482896228	2.8139858488
3.7458193980	2.1820234291	1.4992076335	2.8648392247
3.7792642140	2.2237655836	1.5375482570	2.9099829101
3.8127090301	2.2565628680	1.5649880693	2.9481376667
3.8461538462	2.2806750321	1.5833949717	2.9779550925
3.8795986622	2.2963580733	1.5944679615	2.9982481850
3.9130434783	2.3038107817	1.5994631025	3.0081584609
3.9464882943	2.3031370983	1.5990191461	3.0072550505
3.9799331104	2.2943273829	1.5930773034	2.9955774625
4.0133779264	2.2772601296	1.5808884007	2.9736318585
4.0468227425	2.2517239873	1.5611081391	2.9423398356
4.0802675585	2.2174582812	1.5319878837	2.9029286786
